date,name,value
2011-8-01,Borussia Dortmund,7
2011-8-01,Borussia Monchengladbach,7
2011-8-01,Hertha Berlin,5
2011-8-01,Nurnberg,6
2011-8-01,SC Freiburg,4
2011-8-01,VfB Stuttgart,4
2011-8-01,TSG Hoffenheim,6
2011-8-01,Mainz,7
2011-8-01,Hamburg SV,1
2011-8-01,Bayern Munich,9
2011-8-01,Kaiserslautern,2
2011-8-01,VfL Wolfsburg,3
2011-8-01,FC Cologne,4
2011-8-01,Schalke 04,9
2011-8-01,Werder Bremen,9
2011-8-01,FC Augsburg,2
2011-8-01,Bayer Leverkusen,7
2011-8-01,Hannover 96,8
2011-9-01,Borussia Dortmund,10
2011-9-01,Borussia Monchengladbach,16
2011-9-01,Hertha Berlin,9
2011-9-01,Nurnberg,10
2011-9-01,SC Freiburg,4
2011-9-01,VfB Stuttgart,13
2011-9-01,TSG Hoffenheim,12
2011-9-01,Mainz,7
2011-9-01,Hamburg SV,4
2011-9-01,Bayern Munich,18
2011-9-01,Kaiserslautern,5
2011-9-01,VfL Wolfsburg,9
2011-9-01,FC Cologne,10
2011-9-01,Schalke 04,12
2011-9-01,Werder Bremen,16
2011-9-01,FC Augsburg,4
2011-9-01,Bayer Leverkusen,10
2011-9-01,Hannover 96,12
2011-10-01,Borussia Dortmund,20
2011-10-01,Borussia Monchengladbach,20
2011-10-01,Hertha Berlin,16
2011-10-01,Nurnberg,12
2011-10-01,SC Freiburg,7
2011-10-01,VfB Stuttgart,18
2011-10-01,TSG Hoffenheim,16
2011-10-01,Mainz,9
2011-10-01,Hamburg SV,9
2011-10-01,Bayern Munich,25
2011-10-01,Kaiserslautern,12
2011-10-01,VfL Wolfsburg,13
2011-10-01,FC Cologne,16
2011-10-01,Schalke 04,21
2011-10-01,Werder Bremen,20
2011-10-01,FC Augsburg,8
2011-10-01,Bayer Leverkusen,17
2011-10-01,Hannover 96,18
2011-11-01,Borussia Dortmund,29
2011-11-01,Borussia Monchengladbach,29
2011-11-01,Hertha Berlin,18
2011-11-01,Nurnberg,15
2011-11-01,SC Freiburg,12
2011-11-01,VfB Stuttgart,21
2011-11-01,TSG Hoffenheim,18
2011-11-01,Mainz,15
2011-11-01,Hamburg SV,14
2011-11-01,Bayern Munich,28
2011-11-01,Kaiserslautern,13
2011-11-01,VfL Wolfsburg,16
2011-11-01,FC Cologne,16
2011-11-01,Schalke 04,25
2011-11-01,Werder Bremen,26
2011-11-01,FC Augsburg,11
2011-11-01,Bayer Leverkusen,22
2011-11-01,Hannover 96,20
2011-12-01,Borussia Dortmund,34
2011-12-01,Borussia Monchengladbach,33
2011-12-01,Hertha Berlin,20
2011-12-01,Nurnberg,18
2011-12-01,SC Freiburg,13
2011-12-01,VfB Stuttgart,22
2011-12-01,TSG Hoffenheim,22
2011-12-01,Mainz,18
2011-12-01,Hamburg SV,19
2011-12-01,Bayern Munich,37
2011-12-01,Kaiserslautern,16
2011-12-01,VfL Wolfsburg,20
2011-12-01,FC Cologne,21
2011-12-01,Schalke 04,34
2011-12-01,Werder Bremen,29
2011-12-01,FC Augsburg,15
2011-12-01,Bayer Leverkusen,26
2011-12-01,Hannover 96,23
2012-1-01,Borussia Dortmund,40
2012-1-01,Borussia Monchengladbach,39
2012-1-01,Hertha Berlin,20
2012-1-01,Nurnberg,21
2012-1-01,SC Freiburg,16
2012-1-01,VfB Stuttgart,22
2012-1-01,TSG Hoffenheim,23
2012-1-01,Mainz,21
2012-1-01,Hamburg SV,22
2012-1-01,Bayern Munich,40
2012-1-01,Kaiserslautern,18
2012-1-01,VfL Wolfsburg,23
2012-1-01,FC Cologne,21
2012-1-01,Schalke 04,40
2012-1-01,Werder Bremen,31
2012-1-01,FC Augsburg,16
2012-1-01,Bayer Leverkusen,30
2012-1-01,Hannover 96,27
2012-2-01,Borussia Dortmund,52
2012-2-01,Borussia Monchengladbach,47
2012-2-01,Hertha Berlin,20
2012-2-01,Nurnberg,28
2012-2-01,SC Freiburg,18
2012-2-01,VfB Stuttgart,29
2012-2-01,TSG Hoffenheim,29
2012-2-01,Mainz,27
2012-2-01,Hamburg SV,27
2012-2-01,Bayern Munich,48
2012-2-01,Kaiserslautern,18
2012-2-01,VfL Wolfsburg,27
2012-2-01,FC Cologne,24
2012-2-01,Schalke 04,44
2012-2-01,Werder Bremen,36
2012-2-01,FC Augsburg,21
2012-2-01,Bayer Leverkusen,37
2012-2-01,Hannover 96,34
2012-3-01,Borussia Dortmund,63
2012-3-01,Borussia Monchengladbach,51
2012-3-01,Hertha Berlin,26
2012-3-01,Nurnberg,31
2012-3-01,SC Freiburg,31
2012-3-01,VfB Stuttgart,40
2012-3-01,TSG Hoffenheim,33
2012-3-01,Mainz,33
2012-3-01,Hamburg SV,30
2012-3-01,Bayern Munich,60
2012-3-01,Kaiserslautern,20
2012-3-01,VfL Wolfsburg,40
2012-3-01,FC Cologne,28
2012-3-01,Schalke 04,53
2012-3-01,Werder Bremen,40
2012-3-01,FC Augsburg,30
2012-3-01,Bayer Leverkusen,40
2012-3-01,Hannover 96,38
2012-4-01,Borussia Dortmund,78
2012-4-01,Borussia Monchengladbach,57
2012-4-01,Hertha Berlin,28
2012-4-01,Nurnberg,42
2012-4-01,SC Freiburg,40
2012-4-01,VfB Stuttgart,50
2012-4-01,TSG Hoffenheim,41
2012-4-01,Mainz,39
2012-4-01,Hamburg SV,36
2012-4-01,Bayern Munich,70
2012-4-01,Kaiserslautern,23
2012-4-01,VfL Wolfsburg,44
2012-4-01,FC Cologne,30
2012-4-01,Schalke 04,61
2012-4-01,Werder Bremen,42
2012-4-01,FC Augsburg,35
2012-4-01,Bayer Leverkusen,51
2012-4-01,Hannover 96,45
2012-5-01,Borussia Dortmund,81
2012-5-01,Borussia Monchengladbach,60
2012-5-01,Hertha Berlin,31
2012-5-01,Nurnberg,42
2012-5-01,SC Freiburg,40
2012-5-01,VfB Stuttgart,53
2012-5-01,TSG Hoffenheim,41
2012-5-01,Mainz,39
2012-5-01,Hamburg SV,36
2012-5-01,Bayern Munich,73
2012-5-01,Kaiserslautern,23
2012-5-01,VfL Wolfsburg,44
2012-5-01,FC Cologne,30
2012-5-01,Schalke 04,64
2012-5-01,Werder Bremen,42
2012-5-01,FC Augsburg,38
2012-5-01,Bayer Leverkusen,54
2012-5-01,Hannover 96,48
